Company,Ticker,Sector,Year,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit Before Tax,Tax,Net Profit,EPS,Equity,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,CFO,CFI,CFF,Net Cash Flow,Free Cash Flow,Debtor Days,Inventory Days,Days Payable,Cash Conversion Cycle,Working Capital Days,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate
Kaveri Seed Company,KSCL,Agriculture,Mar 2018,818,597,222,27%,24,1,25,220.0,4%,211,31.96,13.0,999.0,3.0,449.0,1465.0,189.0,37.0,623.0,615.0,1465.0,148.0,71.0,-226.0,-7.0,134.0,38.0,386.0,192.0,233.0,75.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Prestige Estates,PRESTIGE,Real Estate,Mar 2018,5499,4222,1277,23%,82,566,155,638.0,33%,425,9.9,375.0,4358.0,7416.0,6754.0,18902.0,5135.0,2508.0,435.0,10825.0,18902.0,1072.0,-2005.0,960.0,26.0,497.0,64.0,7574.0,1795.0,5843.0,-87.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
National Aluminium (NALCO),NATIONALUM,Metals & Mining,Mar 2018,9509,8113,1397,15%,1124,2,480,2039.0,34%,1342,6.94,966.0,9537.0,45.0,4064.0,14613.0,7139.0,915.0,710.0,5849.0,14613.0,1590.0,-490.0,-1100.0,1.0,765.0,10.0,288.0,232.0,66.0,-11.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
EID Parry (India),EIDPARRY,Agriculture,Mar 2018,15373,14068,1305,8%,150,336,251,868.0,40%,517,14.45,18.0,2952.0,4470.0,7088.0,14528.0,3197.0,54.0,430.0,10847.0,14528.0,259.0,13.0,42.0,314.0,82.0,43.0,134.0,174.0,3.0,4.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Mphasis,MPHASIS,Information Technology,Mar 2018,6546,5483,1062,16%,149,13,71,1128.0,26%,838,43.34,193.0,5289.0,390.0,1109.0,6980.0,1884.0,2.0,1782.0,3312.0,6980.0,723.0,507.0,-1380.0,-149.0,692.0,45.0,,,45.0,21.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Newgen Software,NEWGEN,Information Technology,Mar 2018,512,415,98,19%,8,5,6,94.0,23%,73,5.26,68.0,337.0,66.0,138.0,609.0,68.0,17.0,50.0,474.0,609.0,60.0,-17.0,68.0,111.0,41.0,158.0,,,158.0,79.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Container Corporation of India (CONCOR),CONCOR,Ports & Infrastructure,Mar 2018,6612,5120,1492,23%,343,6,420,1409.0,25%,1060,14.04,244.0,9078.0,62.0,1534.0,10918.0,4019.0,692.0,1126.0,5080.0,10918.0,1313.0,-745.0,-492.0,76.0,433.0,5.0,,,5.0,5.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Amber Enterprises India,AMBER,Consumer Durables,Mar 2018,2118,1934,184,9%,9,54,49,89.0,30%,62,19.81,31.0,861.0,114.0,721.0,1728.0,710.0,30.0,6.0,983.0,1728.0,127.0,-152.0,128.0,103.0,26.0,65.0,83.0,120.0,28.0,18.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Jindal Steel & Power,JINDALSTEL,Metals & Mining,Mar 2018,33286,26817,6469,19%,-584,3866,3883,-1864.0,-13%,-1616,-14.56,97.0,30288.0,42962.0,15884.0,89230.0,68450.0,4978.0,146.0,15657.0,89230.0,7724.0,-1431.0,-6276.0,17.0,6103.0,20.0,191.0,162.0,50.0,-62.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Peninsula Land,PENINLAND,Real Estate,Mar 2018,498,607,-109,-22%,-117,218,5,-449.0,1%,-452,-16.07,56.0,993.0,2422.0,1498.0,4969.0,483.0,0.0,192.0,4294.0,4969.0,343.0,17.0,-390.0,-29.0,343.0,76.0,,,76.0,1792.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
UPL,UPL,Agriculture,Mar 2018,17378,13966,3412,20%,351,783,675,2305.0,12%,2030,23.57,102.0,9067.0,6638.0,7148.0,22955.0,4437.0,1319.0,1034.0,16165.0,22955.0,2839.0,-2059.0,-801.0,-21.0,1435.0,127.0,204.0,255.0,76.0,94.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Oracle Financial Services,OFSS,Information Technology,Mar 2018,4527,2716,1811,40%,91,0,61,1840.0,33%,1237,144.82,43.0,4665.0,0.0,1225.0,5933.0,837.0,3.0,0.0,5093.0,5933.0,1157.0,-1313.0,-1630.0,-1785.0,1127.0,81.0,,,81.0,41.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Cipla,CIPLA,Pharmaceuticals,Mar 2018,15156,12329,2826,19%,280,114,1323,1669.0,15%,1417,17.52,161.0,14068.0,4098.0,4346.0,22673.0,9950.0,981.0,1259.0,10483.0,22673.0,1463.0,-834.0,-385.0,243.0,723.0,75.0,271.0,142.0,204.0,118.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
ITC,ITC,FMCG,Mar 2018,43449,26928,16521,38%,2240,115,1236,17409.0,34%,11493,9.24,1220.0,51290.0,36.0,11695.0,64241.0,16524.0,5508.0,22053.0,20156.0,64241.0,13169.0,-7114.0,-6221.0,-166.0,10371.0,23.0,173.0,80.0,115.0,31.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Aegis Logistics,AEGISLOG,Oil & Gas,Mar 2018,4791,4525,266,6%,8,15,34,225.0,5%,214,5.92,33.0,1174.0,304.0,703.0,2214.0,1282.0,126.0,0.0,806.0,2214.0,191.0,-296.0,184.0,80.0,-108.0,26.0,2.0,32.0,-3.0,-29.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Zensar Technologies,ZENSARTECH,Information Technology,Mar 2018,3108,2743,365,12%,74,23,65,352.0,30%,246,10.74,45.0,1624.0,9.0,618.0,2296.0,592.0,6.0,275.0,1424.0,2296.0,206.0,-142.0,-204.0,-140.0,154.0,75.0,,,75.0,70.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Kajaria Ceramics,KAJARIACER,Consumer Durables,Mar 2018,2711,2253,457,17%,11,24,89,355.0,36%,229,14.78,16.0,1335.0,170.0,619.0,2140.0,1145.0,18.0,0.0,977.0,2140.0,238.0,-136.0,-72.0,30.0,100.0,61.0,150.0,102.0,108.0,43.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Polycab India,POLYCAB,Consumer Durables,Mar 2018,6770,6041,729,11%,65,94,133,567.0,37%,359,25.35,141.0,2206.0,800.0,1300.0,4448.0,1197.0,136.0,32.0,3083.0,4448.0,362.0,-188.0,-190.0,-15.0,179.0,70.0,,,70.0,57.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Puravankara,PURVA,Real Estate,Mar 2018,1415,1110,305,22%,90,251,15,129.0,29%,91,3.85,119.0,2275.0,2379.0,2011.0,6783.0,125.0,36.0,131.0,6491.0,6783.0,-29.0,56.0,12.0,39.0,-31.0,71.0,6990.0,658.0,6403.0,410.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Avanti Feeds,AVANTIFEED,Agriculture,Mar 2018,3393,2708,684,20%,49,5,24,704.0,34%,466,32.78,9.0,1022.0,7.0,488.0,1526.0,312.0,2.0,584.0,628.0,1526.0,281.0,-269.0,-45.0,-34.0,201.0,5.0,79.0,43.0,41.0,29.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
SAIL,SAIL,Metals & Mining,Mar 2018,57496,52788,4708,8%,654,2823,3066,-527.0,-47%,-281,-0.68,4131.0,32816.0,45409.0,33339.0,115694.0,58625.0,18395.0,2629.0,36044.0,115694.0,6164.0,-6480.0,269.0,-47.0,-441.0,25.0,199.0,87.0,137.0,-87.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
PNC Infratech,PNCINFRA,Ports & Infrastructure,Mar 2018,2411,1648,763,32%,24,309,262,216.0,-12%,243,9.47,51.0,1637.0,2021.0,2192.0,5902.0,2279.0,11.0,169.0,3443.0,5902.0,591.0,-252.0,-211.0,129.0,460.0,90.0,75.0,203.0,-37.0,16.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Transport Corporation of India (TCI),TCI,Ports & Infrastructure,Mar 2018,2350,2133,216,9%,37,32,69,152.0,19%,124,16.08,15.0,746.0,440.0,196.0,1398.0,626.0,56.0,104.0,611.0,1398.0,157.0,-131.0,-30.0,-4.0,6.0,66.0,,,66.0,18.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Emami,EMAMILTD,FMCG,Mar 2018,2531,1812,719,28%,19,34,311,393.0,22%,306,6.77,23.0,1991.0,326.0,458.0,2798.0,1802.0,30.0,314.0,652.0,2798.0,588.0,-276.0,-324.0,-12.0,465.0,22.0,87.0,109.0,1.0,-32.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Tata Consumer Products,TATACONSUM,FMCG,Mar 2018,6815,5976,839,12%,73,43,116,753.0,25%,556,7.56,63.0,6968.0,1068.0,2362.0,10461.0,4798.0,135.0,1161.0,4366.0,10461.0,356.0,-31.0,-30.0,294.0,6.0,35.0,143.0,70.0,108.0,59.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Rail Vikas Nigam (RVNL),RVNL,Ports & Infrastructure,Mar 2018,7597,7215,382,5%,331,45,5,664.0,14%,570,2.73,2085.0,1839.0,2259.0,2101.0,8284.0,249.0,21.0,1231.0,6783.0,8284.0,-363.0,36.0,-581.0,-908.0,-454.0,34.0,,,34.0,70.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
GAIL,GAIL,Oil & Gas,Mar 2018,54496,46695,7802,14%,948,295,1527,6928.0,31%,4805,7.09,2255.0,39424.0,3876.0,15798.0,61353.0,30480.0,5938.0,10452.0,14482.0,61353.0,8769.0,-2660.0,-5252.0,858.0,5370.0,23.0,17.0,35.0,6.0,-24.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
IRCON International,IRCON,Ports & Infrastructure,Mar 2018,4024,3576,448,11%,189,65,16,555.0,26%,409,4.35,94.0,3667.0,3200.0,5810.0,12771.0,568.0,964.0,784.0,10455.0,12771.0,-2617.0,-20.0,2737.0,100.0,-3037.0,61.0,152.0,550.0,-337.0,-162.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
KNR Constructions,KNRCON,Ports & Infrastructure,Mar 2018,2070,1620,449,22%,55,82,194,228.0,-0%,229,8.66,28.0,1020.0,770.0,790.0,2608.0,1341.0,1.0,53.0,1213.0,2608.0,221.0,-163.0,-38.0,20.0,4.0,47.0,53.0,176.0,-75.0,33.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Voltas,VOLTAS,Consumer Durables,Mar 2018,6404,5742,663,10%,178,12,24,805.0,28%,578,17.3,33.0,3872.0,142.0,3249.0,7296.0,297.0,4.0,2754.0,4242.0,7296.0,325.0,-199.0,-181.0,-55.0,292.0,89.0,65.0,174.0,-19.0,32.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Marico,MARICO,FMCG,Mar 2018,6322,5185,1137,18%,85,16,89,1117.0,26%,827,6.31,129.0,2414.0,312.0,1217.0,4072.0,1110.0,27.0,543.0,2392.0,4072.0,516.0,59.0,-567.0,8.0,388.0,20.0,190.0,103.0,106.0,37.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
NBCC (India),NBCC,Ports & Infrastructure,Mar 2018,8447,7992,455,5%,163,28,6,584.0,32%,396,1.4,180.0,1886.0,0.0,10202.0,12269.0,129.0,0.0,28.0,12111.0,12269.0,907.0,-474.0,-247.0,185.0,902.0,115.0,,,115.0,-122.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
HPCL,HINDPETRO,Oil & Gas,Mar 2018,219510,208732,10778,5%,2785,618,2834,10110.0,29%,7218,31.58,1524.0,24008.0,21952.0,42197.0,89681.0,38695.0,4011.0,12882.0,34094.0,89681.0,11037.0,-7398.0,-4423.0,-784.0,4334.0,9.0,35.0,30.0,15.0,-29.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Chambal Fertilisers & Chemicals,CHAMBLFERT,Agriculture,Mar 2018,7541,6730,811,11%,172,157,85,740.0,33%,495,11.99,416.0,2089.0,6079.0,877.0,9462.0,1234.0,4135.0,207.0,3886.0,9462.0,1172.0,-1784.0,564.0,-49.0,-1250.0,123.0,63.0,24.0,161.0,19.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Radico Khaitan,RADICO,FMCG,Mar 2018,1797,1526,270,15%,27,69,41,188.0,34%,124,9.3,27.0,1130.0,592.0,498.0,2247.0,685.0,20.0,220.0,1321.0,2247.0,316.0,-21.0,-293.0,2.0,272.0,128.0,231.0,159.0,201.0,44.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Varun Beverages,VBL,FMCG,Dec 2018,5105,4069,1036,20%,6,223,385,434.0,31%,300,0.95,183.0,1816.0,2808.0,1192.0,5998.0,4387.0,352.0,11.0,1247.0,5998.0,1000.0,-937.0,-84.0,-22.0,191.0,9.0,94.0,52.0,52.0,-50.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Hindalco,HINDALCO,Metals & Mining,Mar 2018,115183,101488,13695,12%,2879,3911,4506,8157.0,25%,6083,27.1,223.0,54629.0,52074.0,40088.0,147014.0,85088.0,2063.0,10781.0,49081.0,147014.0,10898.0,5333.0,-16412.0,-181.0,7942.0,32.0,115.0,108.0,38.0,17.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
V-Guard Industries,VGUARD,Consumer Durables,Mar 2018,2326,2135,191,8%,10,2,20,180.0,25%,135,3.15,43.0,707.0,7.0,414.0,1171.0,218.0,7.0,75.0,870.0,1171.0,52.0,-25.0,-37.0,-10.0,11.0,71.0,71.0,76.0,66.0,70.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
BPCL,BPCL,Oil & Gas,Mar 2018,235895,220578,15317,6%,2927,1186,2885,14174.0,31%,9792,20.76,1967.0,34652.0,37659.0,46078.0,120356.0,45539.0,9875.0,23725.0,41217.0,120356.0,11068.0,-7066.0,-4218.0,-215.0,3384.0,8.0,41.0,27.0,21.0,-19.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
KEI Industries,KEI,Consumer Durables,Mar 2018,3466,3126,339,10%,9,112,32,204.0,29%,145,18.47,16.0,589.0,842.0,773.0,2220.0,407.0,23.0,3.0,1787.0,2220.0,191.0,-76.0,-69.0,45.0,126.0,108.0,97.0,110.0,95.0,28.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
IRB Infrastructure Developers,IRB,Ports & Infrastructure,Mar 2018,5694,3005,2689,47%,295,976,544,1464.0,37%,920,1.31,351.0,5341.0,13832.0,20865.0,40389.0,31071.0,5648.0,945.0,2724.0,40389.0,2132.0,-2621.0,410.0,-79.0,-1838.0,8.0,,,8.0,-394.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Triveni Engineering & Industries,TRIVENI,Agriculture,Mar 2018,3370,3094,276,8%,33,85,55,169.0,29%,119,4.62,26.0,921.0,1240.0,850.0,3036.0,847.0,10.0,116.0,2063.0,3036.0,621.0,-41.0,-583.0,-3.0,569.0,34.0,223.0,89.0,168.0,2.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Larsen & Toubro (L&T),LT,Ports & Infrastructure,Mar 2018,119683,99572,20111,17%,1465,7714,2223,11639.0,27%,8004,52.59,280.0,54623.0,107524.0,80812.0,243240.0,18580.0,13443.0,15311.0,195905.0,243240.0,-10031.0,3914.0,9370.0,3254.0,-12046.0,101.0,45.0,349.0,-203.0,45.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Ipca Laboratories,IPCALAB,Pharmaceuticals,Mar 2018,3258,2803,455,14%,41,28,178,291.0,18%,239,9.49,25.0,2663.0,628.0,799.0,4116.0,1953.0,73.0,87.0,2003.0,4116.0,341.0,-135.0,-130.0,75.0,206.0,67.0,286.0,137.0,216.0,80.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
L&T Technology Services,LTTS,Information Technology,Mar 2018,3747,3172,576,15%,193,2,89,678.0,25%,507,49.39,20.0,1916.0,70.0,696.0,2702.0,709.0,0.0,221.0,1772.0,2702.0,409.0,-196.0,-132.0,81.0,324.0,94.0,,,94.0,70.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Adani Total Gas,ATGL,Oil & Gas,Mar 2018,1374,1008,366,27%,80,125,61,259.0,36%,162,6.31,257.0,759.0,1345.0,442.0,2803.0,897.0,102.0,180.0,1624.0,2803.0,277.0,-988.0,779.0,68.0,137.0,38.0,18.0,57.0,-2.0,52.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Phoenix Mills,PHOENIXLTD,Real Estate,Mar 2018,1614,830,784,49%,50,349,198,287.0,26%,256,7.91,31.0,2821.0,3666.0,1979.0,8497.0,5668.0,503.0,829.0,1498.0,8497.0,1514.0,-1825.0,277.0,-33.0,13.0,29.0,,,29.0,-150.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Kolte-Patil,KOLTEPATIL,Real Estate,Mar 2018,1403,1100,303,22%,14,99,15,203.0,24%,154,16.03,76.0,908.0,690.0,988.0,2662.0,118.0,0.0,0.0,2544.0,2662.0,230.0,38.0,-254.0,13.0,227.0,48.0,,,48.0,298.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Hindustan Unilever,HINDUNILVR,FMCG,Mar 2018,35545,28046,7499,21%,353,26,520,7306.0,28%,5227,24.09,216.0,7065.0,0.0,10581.0,17862.0,4528.0,461.0,2873.0,10000.0,17862.0,6059.0,-1063.0,-4975.0,21.0,5196.0,13.0,65.0,185.0,-107.0,-37.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Reliance Industries,RELIANCE,Oil & Gas,Mar 2018,390823,326508,64315,16%,9869,8052,16706,49426.0,27%,36080,26.69,5922.0,287584.0,239843.0,277924.0,811273.0,403885.0,187022.0,82862.0,137504.0,811273.0,71459.0,-68192.0,-2001.0,1266.0,-1495.0,16.0,83.0,146.0,-46.0,-179.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Coromandel International,COROMANDEL,Agriculture,Mar 2018,11083,9822,1261,11%,55,178,99,1038.0,33%,691,23.64,29.0,2867.0,2728.0,4224.0,9848.0,1327.0,48.0,221.0,8252.0,9848.0,263.0,38.0,-1.0,300.0,134.0,52.0,109.0,162.0,-2.0,27.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Blue Dart Express,BLUEDART,Ports & Infrastructure,Mar 2018,2799,2447,352,13%,20,40,114,217.0,33%,145,60.99,24.0,508.0,418.0,553.0,1503.0,518.0,99.0,0.0,885.0,1503.0,317.0,-190.0,-152.0,-25.0,119.0,55.0,,,55.0,-17.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
PI Industries,PIIND,Agriculture,Mar 2018,2277,1781,496,22%,60,7,83,466.0,21%,368,26.66,14.0,1911.0,83.0,618.0,2626.0,998.0,90.0,161.0,1378.0,2626.0,319.0,-180.0,-106.0,33.0,150.0,84.0,141.0,115.0,110.0,89.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Dixon Technologies,DIXON,Consumer Durables,Mar 2018,2842,2729,113,4%,4,13,15,88.0,31%,61,10.76,11.0,304.0,45.0,606.0,966.0,179.0,16.0,11.0,759.0,966.0,68.0,-100.0,42.0,10.0,-5.0,38.0,47.0,75.0,10.0,8.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Anant Raj,ANANTRAJ,Real Estate,Mar 2018,480,370,110,23%,49,55,26,79.0,23%,66,2.29,59.0,4128.0,2600.0,686.0,7473.0,2789.0,192.0,594.0,3899.0,7473.0,-305.0,-229.0,675.0,141.0,-544.0,80.0,,,80.0,1113.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Cera Sanitaryware,CERA,Consumer Durables,Mar 2018,1185,1008,177,15%,14,10,27,155.0,32%,106,79.33,6.0,599.0,96.0,343.0,1045.0,360.0,5.0,109.0,572.0,1045.0,75.0,-41.0,-34.0,1.0,21.0,83.0,137.0,67.0,153.0,56.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Oberoi Realty,OBEROIRLTY,Real Estate,Mar 2018,1265,589,676,53%,29,7,49,650.0,29%,459,13.51,340.0,5753.0,1694.0,2401.0,10188.0,976.0,113.0,2420.0,6679.0,10188.0,-202.0,-592.0,651.0,-143.0,-279.0,52.0,,,52.0,866.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Infosys,INFY,Information Technology,Mar 2018,70522,51700,18822,27%,3311,0,1863,20270.0,21%,16029,36.69,1088.0,63835.0,0.0,14426.0,79349.0,12574.0,1606.0,12163.0,53006.0,79349.0,13218.0,4533.0,-20505.0,-2754.0,11220.0,68.0,,,68.0,50.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Astral,ASTRAL,Consumer Durables,Mar 2018,2073,1759,314,15%,13,22,57,248.0,29%,176,6.58,12.0,1006.0,189.0,468.0,1675.0,842.0,73.0,0.0,759.0,1675.0,282.0,-185.0,-71.0,25.0,98.0,54.0,94.0,92.0,56.0,37.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Oil India,OIL,Oil & Gas,Mar 2018,10698,6770,3928,37%,1812,554,1327,3859.0,29%,2735,16.06,757.0,28273.0,12329.0,7353.0,48712.0,12320.0,988.0,26657.0,8747.0,48712.0,3933.0,1778.0,-5698.0,12.0,1267.0,48.0,,,48.0,10.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Dabur,DABUR,FMCG,Mar 2018,7722,6104,1617,21%,291,53,162,1693.0,20%,1358,7.69,176.0,5530.0,938.0,2058.0,8702.0,2028.0,42.0,3805.0,2827.0,8702.0,1092.0,-541.0,-577.0,-27.0,891.0,33.0,169.0,190.0,13.0,-1.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Dhampur Sugar Mills,DHAMPURSUG,Agriculture,Mar 2018,3352,2997,354,11%,27,122,58,203.0,25%,151,22.85,66.0,935.0,1449.0,685.0,3136.0,1597.0,24.0,2.0,1512.0,3136.0,805.0,-140.0,-647.0,19.0,660.0,27.0,158.0,73.0,113.0,-22.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Sonata Software,SONATSOFTW,Information Technology,Mar 2018,2454,2223,231,9%,47,5,12,260.0,26%,192,6.87,10.0,643.0,34.0,545.0,1232.0,114.0,0.0,198.0,920.0,1232.0,290.0,104.0,-140.0,253.0,283.0,59.0,0.0,,59.0,-11.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Aurobindo Pharma,AUROPHARMA,Pharmaceuticals,Mar 2018,16463,12691,3772,23%,105,78,558,3241.0,25%,2423,41.36,59.0,11622.0,4770.0,4492.0,20942.0,6521.0,1583.0,312.0,12527.0,20942.0,1955.0,-1927.0,864.0,892.0,714.0,68.0,317.0,128.0,257.0,50.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
APL Apollo Tubes,APLAPOLLO,Metals & Mining,Mar 2018,5335,4964,371,7%,8,81,53,244.0,35%,158,6.66,24.0,814.0,775.0,568.0,2181.0,886.0,46.0,1.0,1248.0,2181.0,91.0,-165.0,79.0,5.0,-77.0,30.0,47.0,30.0,47.0,0.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Divi’s Laboratories,DIVISLAB,Pharmaceuticals,Mar 2018,3891,2622,1269,33%,107,2,142,1231.0,29%,877,33.04,53.0,5872.0,63.0,797.0,6785.0,1996.0,120.0,1889.0,2780.0,6785.0,776.0,-478.0,-314.0,-17.0,502.0,95.0,314.0,96.0,313.0,176.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
United Breweries,UBL,FMCG,Mar 2018,5619,4716,903,16%,13,48,260,608.0,35%,395,14.91,26.0,2664.0,312.0,1721.0,4723.0,1730.0,72.0,0.0,2921.0,4723.0,563.0,-197.0,-364.0,3.0,362.0,97.0,271.0,175.0,193.0,53.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
LT Foods,LTFOODS,Agriculture,Mar 2018,3614,3237,376,10%,36,147,50,216.0,33%,144,4.21,32.0,1147.0,1548.0,529.0,3256.0,566.0,28.0,14.0,2648.0,3256.0,60.0,-233.0,160.0,-13.0,-169.0,47.0,251.0,50.0,248.0,61.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Ratnamani Metals,RATNAMANI,Metals & Mining,Mar 2018,1767,1501,266,15%,32,10,61,228.0,33%,152,21.65,9.0,1299.0,79.0,360.0,1747.0,445.0,47.0,0.0,1255.0,1747.0,-73.0,21.0,42.0,-10.0,-142.0,115.0,184.0,62.0,237.0,173.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Birlasoft,BSOFT,Information Technology,Mar 2018,2250,1967,283,13%,87,8,40,322.0,21%,254,12.8,38.0,1779.0,310.0,606.0,2733.0,829.0,32.0,129.0,1743.0,2733.0,407.0,-193.0,-128.0,86.0,292.0,131.0,,,131.0,44.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
